file,usable_nav,nav_decision_basis,has_lat,has_lon,has_latlon,lat_non_nan_count,lon_non_nan_count,has_sentence,n_time1,use_sentence_for_nav,error
L0392-D20170814-T104753-ES60.raw,True,latlon+sentence,True,True,True,5079,5079,True,5079,True,
L0392-D20170814-T111606-ES60.raw,True,latlon+sentence,True,True,True,978,978,True,978,True,
L0393-D20170814-T121625-ES60.raw,True,latlon+sentence,True,True,True,12,12,True,12,True,
L0394-D20170814-T121631-ES60.raw,True,latlon+sentence,True,True,True,5076,5076,True,5076,True,
L0394-D20170814-T124443-ES60.raw,True,latlon+sentence,True,True,True,5076,5076,True,5076,True,
L0394-D20170814-T131255-ES60.raw,True,latlon+sentence,True,True,True,5076,5076,True,5076,True,
L0394-D20170814-T134107-ES60.raw,True,latlon+sentence,True,True,True,5076,5076,True,5076,True,
L0394-D20170814-T140919-ES60.raw,True,latlon+sentence,True,True,True,5075,5075,True,5076,True,
L0394-D20170814-T150542-ES60.raw,True,latlon+sentence,True,True,True,855,855,True,855,True,
L0395-D20170814-T151029-ES60.raw,True,latlon+sentence,True,True,True,5076,5076,True,5076,True,
L0395-D20170814-T153841-ES60.raw,True,latlon+sentence,True,True,True,4547,4547,True,4547,True,
L0396-D20170814-T160400-ES60.raw,True,latlon+sentence,True,True,True,5073,5073,True,5073,True,
L0396-D20170814-T163211-ES60.raw,True,latlon+sentence,True,True,True,5078,5078,True,5078,True,
L0396-D20170814-T170024-ES60.raw,True,latlon+sentence,True,True,True,5072,5072,True,5072,True,
L0396-D20170814-T172835-ES60.raw,True,latlon+sentence,True,True,True,5079,5079,True,5079,True,
L0396-D20170814-T175648-ES60.raw,True,latlon+sentence,True,True,True,5076,5076,True,5076,True,
L0396-D20170814-T185311-ES60.raw,True,latlon+sentence,True,True,True,1221,1221,True,1221,True,
L0397-D20170814-T190000-ES60.raw,True,latlon+sentence,True,True,True,5078,5078,True,5079,True,
L0397-D20170814-T192812-ES60.raw,True,latlon+sentence,True,True,True,4962,4962,True,4962,True,
L0398-D20170814-T195550-ES60.raw,True,latlon+sentence,True,True,True,5076,5076,True,5076,True,
L0398-D20170814-T202402-ES60.raw,True,latlon+sentence,True,True,True,5073,5073,True,5073,True,
L0398-D20170814-T205213-ES60.raw,True,latlon+sentence,True,True,True,5075,5075,True,5075,True,
L0398-D20170814-T212025-ES60.raw,True,latlon+sentence,True,True,True,5076,5076,True,5076,True,
L0398-D20170814-T214837-ES60.raw,True,latlon+sentence,True,True,True,5076,5076,True,5076,True,
L0398-D20170814-T221649-ES60.raw,True,latlon+sentence,True,True,True,5076,5076,True,5076,True,
L0398-D20170814-T224501-ES60.raw,True,latlon+sentence,True,True,True,5075,5075,True,5075,True,
L0398-D20170814-T231313-ES60.raw,True,latlon+sentence,True,True,True,5073,5073,True,5073,True,
L0398-D20170814-T234124-ES60.raw,True,latlon+sentence,True,True,True,5076,5076,True,5076,True,
L0398-D20170815-T000936-ES60.raw,True,latlon+sentence,True,True,True,5073,5073,True,5073,True,
L0398-D20170815-T003747-ES60.raw,True,latlon+sentence,True,True,True,5075,5075,True,5075,True,
L0398-D20170815-T010559-ES60.raw,True,latlon+sentence,True,True,True,5073,5073,True,5073,True,
L0398-D20170815-T013410-ES60.raw,True,latlon+sentence,True,True,True,5076,5076,True,5076,True,
L0398-D20170815-T020222-ES60.raw,True,latlon+sentence,True,True,True,5073,5073,True,5073,True,
L0398-D20170815-T023033-ES60.raw,True,latlon+sentence,True,True,True,5076,5076,True,5076,True,
L0398-D20170815-T025845-ES60.raw,True,latlon+sentence,True,True,True,5073,5073,True,5073,True,
L0398-D20170815-T032656-ES60.raw,True,latlon+sentence,True,True,True,5076,5076,True,5076,True,
L0398-D20170815-T035508-ES60.raw,True,latlon+sentence,True,True,True,5073,5073,True,5073,True,
L0398-D20170815-T042319-ES60.raw,True,latlon+sentence,True,True,True,5073,5073,True,5073,True,
L0398-D20170815-T045131-ES60.raw,True,latlon+sentence,True,True,True,5076,5076,True,5076,True,
L0398-D20170815-T051942-ES60.raw,True,latlon+sentence,True,True,True,5073,5073,True,5073,True,
L0398-D20170815-T054753-ES60.raw,True,latlon+sentence,True,True,True,5076,5076,True,5076,True,
L0398-D20170815-T061605-ES60.raw,True,latlon+sentence,True,True,True,5073,5073,True,5073,True,
L0398-D20170815-T064416-ES60.raw,True,latlon+sentence,True,True,True,5072,5072,True,5072,True,
L0398-D20170815-T071228-ES60.raw,True,latlon+sentence,True,True,True,5079,5079,True,5079,True,
L0398-D20170815-T074040-ES60.raw,True,latlon+sentence,True,True,True,1434,1434,True,1434,True,
L0399-D20170815-T074839-ES60.raw,True,latlon+sentence,True,True,True,5079,5079,True,5079,True,
L0399-D20170815-T081652-ES60.raw,True,latlon+sentence,True,True,True,4737,4737,True,4737,True,
L0400-D20170815-T084313-ES60.raw,True,latlon+sentence,True,True,True,5076,5076,True,5076,True,
L0400-D20170815-T091125-ES60.raw,True,latlon+sentence,True,True,True,5076,5076,True,5076,True,
L0400-D20170815-T093937-ES60.raw,True,latlon+sentence,True,True,True,5073,5073,True,5073,True,
L0400-D20170815-T100748-ES60.raw,True,latlon+sentence,True,True,True,5072,5072,True,5072,True,
L0400-D20170815-T103600-ES60.raw,True,latlon+sentence,True,True,True,3981,3981,True,3981,True,
L0401-D20170815-T105810-ES60.raw,True,latlon+sentence,True,True,True,5077,5077,True,5078,True,
L0401-D20170815-T112623-ES60.raw,True,latlon+sentence,True,True,True,4484,4484,True,4485,True,
L0402-D20170815-T115124-ES60.raw,True,latlon+sentence,True,True,True,5076,5076,True,5076,True,
L0402-D20170815-T121935-ES60.raw,True,latlon+sentence,True,True,True,5073,5073,True,5073,True,
L0402-D20170815-T124746-ES60.raw,True,latlon+sentence,True,True,True,5076,5076,True,5076,True,
L0402-D20170815-T131558-ES60.raw,True,latlon+sentence,True,True,True,5073,5073,True,5073,True,
L0402-D20170815-T134409-ES60.raw,True,latlon+sentence,True,True,True,5076,5076,True,5076,True,
L0402-D20170815-T141221-ES60.raw,True,latlon+sentence,True,True,True,1580,1580,True,1580,True,
L0403-D20170815-T142109-ES60.raw,True,latlon+sentence,True,True,True,5073,5073,True,5073,True,
L0403-D20170815-T144920-ES60.raw,True,latlon+sentence,True,True,True,1845,1845,True,1845,True,
L0404-D20170815-T145938-ES60.raw,True,latlon+sentence,True,True,True,5072,5072,True,5073,True,
L0404-D20170815-T152749-ES60.raw,True,latlon+sentence,True,True,True,5076,5076,True,5076,True,
L0404-D20170815-T155601-ES60.raw,True,latlon+sentence,True,True,True,5076,5076,True,5076,True,
L0404-D20170815-T162413-ES60.raw,True,latlon+sentence,True,True,True,4584,4584,True,4584,True,
L0405-D20170815-T164942-ES60.raw,True,latlon+sentence,True,True,True,5079,5079,True,5079,True,
L0405-D20170815-T171754-ES60.raw,True,latlon+sentence,True,True,True,3977,3977,True,3977,True,
L0406-D20170815-T174001-ES60.raw,True,latlon+sentence,True,True,True,5073,5073,True,5073,True,
L0406-D20170815-T180813-ES60.raw,True,latlon+sentence,True,True,True,5076,5076,True,5076,True,
L0406-D20170815-T190435-ES60.raw,True,latlon+sentence,True,True,True,5076,5076,True,5076,True,
L0406-D20170815-T193247-ES60.raw,True,latlon+sentence,True,True,True,1932,1932,True,1932,True,
L0407-D20170815-T194340-ES60.raw,True,latlon+sentence,True,True,True,5073,5073,True,5073,True,
L0407-D20170815-T201151-ES60.raw,True,latlon+sentence,True,True,True,3270,3270,True,3270,True,
L0408-D20170815-T203003-ES60.raw,True,latlon+sentence,True,True,True,5076,5076,True,5076,True,
L0408-D20170815-T205814-ES60.raw,True,latlon+sentence,True,True,True,5073,5073,True,5073,True,
L0408-D20170815-T212626-ES60.raw,True,latlon+sentence,True,True,True,5076,5076,True,5076,True,
L0408-D20170815-T215437-ES60.raw,True,latlon+sentence,True,True,True,5075,5075,True,5075,True,
L0408-D20170815-T222249-ES60.raw,True,latlon+sentence,True,True,True,5076,5076,True,5076,True,
L0408-D20170815-T225101-ES60.raw,True,latlon+sentence,True,True,True,5073,5073,True,5073,True,
L0408-D20170815-T231912-ES60.raw,True,latlon+sentence,True,True,True,5076,5076,True,5076,True,
L0408-D20170815-T234724-ES60.raw,True,latlon+sentence,True,True,True,5073,5073,True,5073,True,
L0408-D20170816-T001535-ES60.raw,True,latlon+sentence,True,True,True,5073,5073,True,5073,True,
L0408-D20170816-T004347-ES60.raw,True,latlon+sentence,True,True,True,5076,5076,True,5076,True,
L0408-D20170816-T011158-ES60.raw,True,latlon+sentence,True,True,True,5172,5172,True,5172,True,
L0408-D20170816-T014043-ES60.raw,True,latlon+sentence,True,True,True,5082,5082,True,5082,True,
L0408-D20170816-T020857-ES60.raw,True,latlon+sentence,True,True,True,5076,5076,True,5076,True,
L0408-D20170816-T023708-ES60.raw,True,latlon+sentence,True,True,True,5073,5073,True,5073,True,
